HIGH,TRD_DT,CHG,SECU_CODE,VOLUME,TURN,PRE_CLOSE,LOW,SWING,CLOSE,ADJ_TYPE,PCT_CHG,OPEN,AMT
2.6210000000000004,19961105,0.09,000005.SZE,109072.0,8.658999999999999,2.4936,2.4667,0.062,2.5163,before,0.8858,2.5033,112918126.8
2.553,19961106,-0.08,000005.SZE,59750.0,4.7434,2.5163,2.43,0.0488,2.4958,before,-0.7805,2.5163,60721875.5
2.5325,19961107,-0.08,000005.SZE,43346.0,3.4411,2.4958,2.4321,0.0403,2.4764,before,-0.7866,2.5087,43866175.2
2.7364,19961108,1.01,000005.SZE,208084.0,16.5193,2.4764,2.4569,0.113,2.7245,before,10.0099,2.4785,220620850.3
3.0137,19961111,0.83,000005.SZE,322568.0,25.608,2.7245,2.7828,0.0847,2.9285,before,7.4775,2.8227,383291663.2
3.1421,19961112,0.63,000005.SZE,208971.0,16.5898,2.9285,2.8378,0.1039,3.0828,before,5.2808,2.9188,254248422.0
3.1659,19961113,-0.09,000005.SZE,150209.0,11.9248,3.0828,2.9943,0.0557,3.0612,before,-0.7166,3.0677,187806326.7
3.1389,19961114,0.18,000005.SZE,118674.0,9.4213,3.0612,3.0062,0.0433,3.1044,before,1.4435,3.0677,149134898.1
3.3115,19961115,0.35,000005.SZE,129113.0,10.25,3.1044,3.0806,0.0743,3.1907,before,2.7668,3.1044,169389893.7
3.3083,19961118,0.15,000005.SZE,151093.0,11.9949,3.1907,3.1421,0.0523,3.2274,before,1.1538,3.2403,197356018.9
3.304,19961119,0.01,000005.SZE,117928.0,9.3621,3.2274,3.1464,0.0487,3.2295,before,0.076,3.2274,154495886.0
3.4658,19961120,0.59,000005.SZE,159517.0,12.6637,3.2295,3.1659,0.0927,3.3752,before,4.4833,3.2295,217890742.7
3.4831,19961121,-0.96,000005.SZE,160085.0,12.7088,3.3752,3.0677,0.1229,3.1389,before,-6.9818,3.3752,214999853.5
3.304,19961122,0.61,000005.SZE,166534.0,13.2208,3.1389,2.9457,0.1142,3.2889,before,4.7694,3.0925,212373782.2
